CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
0,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5460526315789473,0.6285714285714286
1,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.6470588235294118
2,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.48026315789473684,0.5909090909090909
3,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5,0.7058823529411765
4,100,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5328947368421053,0.8125
0,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.78125
1,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8602150537634409
2,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8588235294117647
3,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.7763157894736842,0.7816091954022989
4,100,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8804347826086957
0,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7828947368421053,0.7272727272727273
1,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8355263157894737,0.8247422680412371
2,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8705882352941177
3,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.7916666666666666
4,100,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.8494623655913979
0,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.756578947368421,0.759493670886076
1,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8666666666666667
2,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8452380952380952
3,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8552631578947368,0.8144329896907216
4,100,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8026315789473685,0.8351648351648352
0,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.881578947368421,0.8333333333333334
1,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.8854166666666666
2,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8695652173913043
3,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9078947368421053,0.896551724137931
4,100,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9130434782608695
0,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.881578947368421,0.8409090909090909
1,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9276315789473685,0.8969072164948454
2,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9013157894736842,0.8541666666666666
3,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
4,100,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9473684210526315,0.9368421052631579
0,200,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5526315789473685,0.7083333333333334
1,200,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4342105263157895,0.5714285714285714
2,200,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.45454545454545453
3,200,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.6118421052631579,0.8157894736842105
4,200,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.5131578947368421,0.7931034482758621
0,200,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.776595744680851
1,200,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.8387096774193549
2,200,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8604651162790697
3,200,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8026315789473685,0.797752808988764
4,200,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.8666666666666667
0,200,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7828947368421053,0.7272727272727273
1,200,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.8229166666666666
2,200,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7894736842105263,0.8148148148148148
3,200,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8092105263157895,0.7872340425531915
4,200,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.8333333333333334
0,200,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.7171052631578947,0.6804123711340206
1,200,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8421052631578947,0.8478260869565217
2,200,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.875,0.8333333333333334
3,200,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.875,0.8478260869565217
4,200,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8289473684210527,0.8421052631578947
0,200,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.8618421052631579,0.8
1,200,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.881578947368421,0.8571428571428571
2,200,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7828947368421053,0.8571428571428571
3,200,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.8777777777777778
4,200,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9407894736842105,0.9361702127659575
0,200,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.8297872340425532
1,200,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,200,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.8602150537634409
3,200,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9078947368421053,0.8791208791208791
4,200,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9605263157894737,0.9473684210526315
0,300,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4934210526315789,0.5238095238095238
1,300,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.45394736842105265,0.6190476190476191
2,300,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.46153846153846156
3,300,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.4782608695652174
4,300,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.48026315789473684,0.8333333333333334
0,300,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8026315789473685,0.75
1,300,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.8315789473684211
2,300,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.8846153846153846
3,300,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8111111111111111
4,300,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.8541666666666666
0,300,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.756578947368421,0.7303370786516854
1,300,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8092105263157895,0.8172043010752689
2,300,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8157894736842105,0.8160919540229885
3,300,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8026315789473685,0.7731958762886598
4,300,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7894736842105263,0.8314606741573034
0,300,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.7697368421052632,0.7311827956989247
1,300,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.881578947368421,0.8888888888888888
2,300,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8157894736842105,0.7669902912621359
3,300,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8486842105263158,0.8191489361702128
4,300,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8223684210526315,0.8809523809523809
0,300,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.881578947368421,0.8333333333333334
1,300,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9407894736842105,0.9247311827956989
2,300,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.868421052631579,0.8315789473684211
3,300,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.8486842105263158,0.8191489361702128
4,300,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.9013157894736842,0.9130434782608695
0,300,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8618421052631579,0.8433734939759037
1,300,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.9276315789473685,0.9139784946236559
2,300,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.845360824742268
3,300,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8355263157894737,0.8085106382978723
4,300,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8947368421052632,0.8947368421052632
0,500,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.881578947368421,0.8191489361702128
1,500,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4276315789473684,0.5294117647058824
2,500,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4276315789473684,0.3888888888888889
3,500,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.48026315789473684,0.6
4,500,100,0.001,0.1,dropnode,0.0,"(512, 256, 128, 64)",0.4473684210526316,0.64
0,500,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8026315789473685,0.7608695652173914
1,500,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8351648351648352
2,500,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8157894736842105,0.8666666666666667
3,500,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.7828947368421053,0.7777777777777778
4,500,100,0.001,0.1,dropnode,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.851063829787234
0,500,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7894736842105263,0.7395833333333334
1,500,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7960526315789473,0.8202247191011236
2,500,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8092105263157895,0.7934782608695652
3,500,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.8092105263157895,0.8214285714285714
4,500,100,0.001,0.1,dropnode,0.1,"(512, 256, 128, 64)",0.7763157894736842,0.8131868131868132
0,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8486842105263158,0.8021978021978022
1,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8058252427184466
2,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8486842105263158,0.8061224489795918
3,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.7894736842105263,0.7741935483870968
4,500,100,0.001,0.1,dropnode,0.2,"(512, 256, 128, 64)",0.8486842105263158,0.8953488372093024
0,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7828947368421053,0.7142857142857143
1,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.8421052631578947,0.8137254901960784
2,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7697368421052632,0.7608695652173914
3,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.7894736842105263,0.7428571428571429
4,500,100,0.001,0.1,dropnode,0.5,"(512, 256, 128, 64)",0.8421052631578947,0.8526315789473684
0,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.743421052631579,0.6822429906542056
1,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.7960526315789473,0.7766990291262136
2,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.8157894736842105,0.8021978021978022
3,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.7631578947368421,0.719626168224299
4,500,100,0.001,0.1,dropnode,0.8,"(512, 256, 128, 64)",0.7763157894736842,0.8131868131868132
