CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,MLP Architecture,Test Accuracy,Test Precision
0,50,50,0.001,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.7551020408163265
1,50,50,0.001,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.851063829787234
2,50,50,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8809523809523809
3,50,50,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
4,50,50,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8673469387755102
0,50,50,0.001,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.7916666666666666
1,50,50,0.001,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,50,50,0.001,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.9069767441860465
3,50,50,0.001,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.8260869565217391
4,50,50,0.001,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.9032258064516129
0,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9013157894736842,0.8461538461538461
1,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9671052631578947,0.9431818181818182
3,50,50,0.001,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8791208791208791
4,50,50,0.001,0.1,"(512, 256, 128, 64)",0.42105263157894735,0.5882352941176471
0,50,50,0.01,0.001,"(512, 256, 128, 64)",0.7960526315789473,0.7473684210526316
1,50,50,0.01,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8181818181818182
2,50,50,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8831168831168831
3,50,50,0.01,0.001,"(512, 256, 128, 64)",0.75,0.7647058823529411
4,50,50,0.01,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.8144329896907216
0,50,50,0.01,0.01,"(512, 256, 128, 64)",0.7960526315789473,0.7326732673267327
1,50,50,0.01,0.01,"(512, 256, 128, 64)",0.881578947368421,0.8723404255319149
2,50,50,0.01,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.9069767441860465
3,50,50,0.01,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8111111111111111
4,50,50,0.01,0.01,"(512, 256, 128, 64)",0.875,0.8829787234042553
0,50,50,0.01,0.1,"(512, 256, 128, 64)",0.8421052631578947,0.78125
1,50,50,0.01,0.1,"(512, 256, 128, 64)",0.875,0.8349514563106796
2,50,50,0.01,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9
3,50,50,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.9166666666666666
4,50,50,0.01,0.1,"(512, 256, 128, 64)",0.40789473684210525,0.5384615384615384
0,50,50,0.1,0.001,"(512, 256, 128, 64)",0.6381578947368421,0.5950413223140496
1,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5855263157894737,0.5827814569536424
2,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,50,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,50,0.1,0.01,"(512, 256, 128, 64)",0.42105263157894735,0.0
2,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,50,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,50,0.1,0.1,"(512, 256, 128, 64)",0.5197368421052632,0.5167785234899329
1,50,50,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,50,0.1,0.1,"(512, 256, 128, 64)",0.5526315789473685,0.5496688741721855
3,50,50,0.1,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.8181818181818182
4,50,50,0.1,0.1,"(512, 256, 128, 64)",0.40131578947368424,0.0
0,50,100,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8
1,50,100,0.001,0.001,"(512, 256, 128, 64)",0.868421052631579,0.8617021276595744
2,50,100,0.001,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8875
3,50,100,0.001,0.001,"(512, 256, 128, 64)",0.8092105263157895,0.7934782608695652
4,50,100,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8681318681318682
0,50,100,0.001,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.7872340425531915
1,50,100,0.001,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8842105263157894
2,50,100,0.001,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
3,50,100,0.001,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8351648351648352
4,50,100,0.001,0.01,"(512, 256, 128, 64)",0.881578947368421,0.9195402298850575
0,50,100,0.001,0.1,"(512, 256, 128, 64)",0.8881578947368421,0.8279569892473119
1,50,100,0.001,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.8969072164948454
2,50,100,0.001,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9204545454545454
3,50,100,0.001,0.1,"(512, 256, 128, 64)",0.8881578947368421,0.8666666666666667
4,50,100,0.001,0.1,"(512, 256, 128, 64)",0.3881578947368421,0.4166666666666667
0,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.7777777777777778
1,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8486842105263158,0.8282828282828283
2,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8390804597701149
3,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8690476190476191
4,50,100,0.01,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.8426966292134831
0,50,100,0.01,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.7934782608695652
1,50,100,0.01,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8367346938775511
2,50,100,0.01,0.01,"(512, 256, 128, 64)",0.875,0.8636363636363636
3,50,100,0.01,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8111111111111111
4,50,100,0.01,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8901098901098901
0,50,100,0.01,0.1,"(512, 256, 128, 64)",0.875,0.8641975308641975
1,50,100,0.01,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9239130434782609
2,50,100,0.01,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8631578947368421
3,50,100,0.01,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8764044943820225
4,50,100,0.01,0.1,"(512, 256, 128, 64)",0.3881578947368421,0.4166666666666667
0,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,100,0.1,0.001,"(512, 256, 128, 64)",0.5394736842105263,0.543046357615894
4,50,100,0.1,0.001,"(512, 256, 128, 64)",0.48026315789473684,0.8333333333333334
0,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5855263157894737,0.5684931506849316
3,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,100,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5657894736842105,0.5570469798657718
4,50,100,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.7731958762886598
1,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.851063829787234
2,50,300,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8902439024390244
3,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8202247191011236
4,50,300,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8383838383838383
0,50,300,0.001,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.7956989247311828
1,50,300,0.001,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8673469387755102
2,50,300,0.001,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9186046511627907
3,50,300,0.001,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.851063829787234
4,50,300,0.001,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.9042553191489362
0,50,300,0.001,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8444444444444444
1,50,300,0.001,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.86
2,50,300,0.001,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9120879120879121
3,50,300,0.001,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8681318681318682
4,50,300,0.001,0.1,"(512, 256, 128, 64)",0.4276315789473684,0.5909090909090909
0,50,300,0.01,0.001,"(512, 256, 128, 64)",0.8223684210526315,0.7741935483870968
1,50,300,0.01,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.8586956521739131
2,50,300,0.01,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.8588235294117647
3,50,300,0.01,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8369565217391305
4,50,300,0.01,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.8461538461538461
0,50,300,0.01,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.776595744680851
1,50,300,0.01,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8602150537634409
2,50,300,0.01,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.8586956521739131
3,50,300,0.01,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8297872340425532
4,50,300,0.01,0.01,"(512, 256, 128, 64)",0.8223684210526315,0.8809523809523809
0,50,300,0.01,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8522727272727273
1,50,300,0.01,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9072164948453608
2,50,300,0.01,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9101123595505618
3,50,300,0.01,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9302325581395349
4,50,300,0.01,0.1,"(512, 256, 128, 64)",0.3881578947368421,0.42857142857142855
0,50,300,0.1,0.001,"(512, 256, 128, 64)",0.48026315789473684,0.0
1,50,300,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,300,0.1,0.001,"(512, 256, 128, 64)",0.5526315789473685,0.5496688741721855
3,50,300,0.1,0.001,"(512, 256, 128, 64)",0.5526315789473685,0.5496688741721855
4,50,300,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,300,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,50,300,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,300,0.1,0.01,"(512, 256, 128, 64)",0.7105263157894737,0.6638655462184874
3,50,300,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,300,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,50,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5306122448979592
1,50,300,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,50,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,50,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,50,300,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,50,0.001,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.75
1,100,50,0.001,0.001,"(512, 256, 128, 64)",0.875,0.8709677419354839
2,100,50,0.001,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8850574712643678
3,100,50,0.001,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.797752808988764
4,100,50,0.001,0.001,"(512, 256, 128, 64)",0.868421052631579,0.8514851485148515
0,100,50,0.001,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8152173913043478
1,100,50,0.001,0.01,"(512, 256, 128, 64)",0.875,0.8556701030927835
2,100,50,0.001,0.01,"(512, 256, 128, 64)",0.9473684210526315,0.9310344827586207
3,100,50,0.001,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8369565217391305
4,100,50,0.001,0.01,"(512, 256, 128, 64)",0.8026315789473685,0.9066666666666666
0,100,50,0.001,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9176470588235294
1,100,50,0.001,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,100,50,0.001,0.1,"(512, 256, 128, 64)",0.9605263157894737,0.9325842696629213
3,100,50,0.001,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9101123595505618
4,100,50,0.001,0.1,"(512, 256, 128, 64)",0.40789473684210525,0.5384615384615384
0,100,50,0.01,0.001,"(512, 256, 128, 64)",0.7960526315789473,0.7473684210526316
1,100,50,0.01,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8247422680412371
2,100,50,0.01,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8941176470588236
3,100,50,0.01,0.001,"(512, 256, 128, 64)",0.7960526315789473,0.782608695652174
4,100,50,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8526315789473684
0,100,50,0.01,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.7894736842105263
1,100,50,0.01,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8469387755102041
2,100,50,0.01,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.935064935064935
3,100,50,0.01,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8539325842696629
4,100,50,0.01,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.896551724137931
0,100,50,0.01,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.872093023255814
1,100,50,0.01,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8958333333333334
2,100,50,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8723404255319149
3,100,50,0.01,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9186046511627907
4,100,50,0.01,0.1,"(512, 256, 128, 64)",0.5263157894736842,0.8518518518518519
0,100,50,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,50,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,50,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,50,0.1,0.001,"(512, 256, 128, 64)",0.5592105263157895,0.5533333333333333
4,100,50,0.1,0.001,"(512, 256, 128, 64)",0.6578947368421053,0.6363636363636364
0,100,50,0.1,0.01,"(512, 256, 128, 64)",0.5394736842105263,0.527027027027027
1,100,50,0.1,0.01,"(512, 256, 128, 64)",0.4276315789473684,0.5072463768115942
2,100,50,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,50,0.1,0.01,"(512, 256, 128, 64)",0.5526315789473685,0.5503355704697986
4,100,50,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,50,0.1,0.1,"(512, 256, 128, 64)",0.6842105263157895,0.6973684210526315
1,100,50,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5906040268456376
2,100,50,0.1,0.1,"(512, 256, 128, 64)",0.5855263157894737,0.5684931506849316
3,100,50,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,100,50,0.1,0.1,"(512, 256, 128, 64)",0.6381578947368421,0.625
0,100,100,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.7708333333333334
1,100,100,0.001,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8526315789473684
2,100,100,0.001,0.001,"(512, 256, 128, 64)",0.875,0.9102564102564102
3,100,100,0.001,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.7912087912087912
4,100,100,0.001,0.001,"(512, 256, 128, 64)",0.875,0.875
0,100,100,0.001,0.01,"(512, 256, 128, 64)",0.875,0.8105263157894737
1,100,100,0.001,0.01,"(512, 256, 128, 64)",0.9210526315789473,0.9042553191489362
2,100,100,0.001,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
3,100,100,0.001,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8315789473684211
4,100,100,0.001,0.01,"(512, 256, 128, 64)",0.868421052631579,0.9080459770114943
0,100,100,0.001,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.8863636363636364
1,100,100,0.001,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9157894736842105
2,100,100,0.001,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9222222222222223
3,100,100,0.001,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8876404494382022
4,100,100,0.001,0.1,"(512, 256, 128, 64)",0.3881578947368421,0.4166666666666667
0,100,100,0.01,0.001,"(512, 256, 128, 64)",0.8157894736842105,0.7840909090909091
1,100,100,0.01,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8829787234042553
2,100,100,0.01,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8433734939759037
3,100,100,0.01,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8295454545454546
4,100,100,0.01,0.001,"(512, 256, 128, 64)",0.8026315789473685,0.8505747126436781
0,100,100,0.01,0.01,"(512, 256, 128, 64)",0.8026315789473685,0.7352941176470589
1,100,100,0.01,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
