CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,MLP Architecture,Test Accuracy,Test Precision
2,100,100,0.01,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.9166666666666666
3,100,100,0.01,0.01,"(512, 256, 128, 64)",0.881578947368421,0.8823529411764706
4,100,100,0.01,0.01,"(512, 256, 128, 64)",0.7894736842105263,0.8470588235294118
0,100,100,0.01,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.8764044943820225
1,100,100,0.01,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.90625
2,100,100,0.01,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
3,100,100,0.01,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.9195402298850575
4,100,100,0.01,0.1,"(512, 256, 128, 64)",0.375,0.35714285714285715
0,100,100,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,100,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,100,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,100,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.564625850340136
4,100,100,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,100,0.1,0.01,"(512, 256, 128, 64)",0.5263157894736842,0.52
1,100,100,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,100,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,100,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,100,100,0.1,0.01,"(512, 256, 128, 64)",0.6052631578947368,0.6099290780141844
0,100,100,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,100,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,100,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,100,0.1,0.1,"(512, 256, 128, 64)",0.5526315789473685,0.5496688741721855
4,100,100,0.1,0.1,"(512, 256, 128, 64)",0.375,0.47435897435897434
0,100,300,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.776595744680851
1,100,300,0.001,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.845360824742268
2,100,300,0.001,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8452380952380952
3,100,300,0.001,0.001,"(512, 256, 128, 64)",0.8092105263157895,0.8
4,100,300,0.001,0.001,"(512, 256, 128, 64)",0.868421052631579,0.8514851485148515
0,100,300,0.001,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.7835051546391752
1,100,300,0.001,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.865979381443299
2,100,300,0.001,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9404761904761905
3,100,300,0.001,0.01,"(512, 256, 128, 64)",0.8552631578947368,0.8351648351648352
4,100,300,0.001,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.922077922077922
0,100,300,0.001,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8651685393258427
1,100,300,0.001,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9354838709677419
2,100,300,0.001,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9222222222222223
3,100,300,0.001,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9186046511627907
4,100,300,0.001,0.1,"(512, 256, 128, 64)",0.40131578947368424,0.5
0,100,300,0.01,0.001,"(512, 256, 128, 64)",0.7828947368421053,0.7319587628865979
1,100,300,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8555555555555555
2,100,300,0.01,0.001,"(512, 256, 128, 64)",0.9144736842105263,0.9069767441860465
3,100,300,0.01,0.001,"(512, 256, 128, 64)",0.8223684210526315,0.8181818181818182
4,100,300,0.01,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8571428571428571
0,100,300,0.01,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.7954545454545454
1,100,300,0.01,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8829787234042553
2,100,300,0.01,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9021739130434783
3,100,300,0.01,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8181818181818182
4,100,300,0.01,0.01,"(512, 256, 128, 64)",0.7828947368421053,0.8918918918918919
0,100,300,0.01,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.8953488372093024
1,100,300,0.01,0.1,"(512, 256, 128, 64)",0.7960526315789473,0.7394957983193278
2,100,300,0.01,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9204545454545454
3,100,300,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8804347826086957
4,100,300,0.01,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.7931034482758621
0,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5197368421052632,0.5167785234899329
1,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.6363636363636364
4,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,50,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.7872340425531915
1,300,50,0.001,0.001,"(512, 256, 128, 64)",0.9013157894736842,0.9010989010989011
2,300,50,0.001,0.001,"(512, 256, 128, 64)",0.881578947368421,0.8823529411764706
3,300,50,0.001,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8152173913043478
4,300,50,0.001,0.001,"(512, 256, 128, 64)",0.881578947368421,0.8924731182795699
0,300,50,0.001,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8085106382978723
1,300,50,0.001,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,300,50,0.001,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
3,300,50,0.001,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.875
4,300,50,0.001,0.01,"(512, 256, 128, 64)",0.45394736842105265,0.7
0,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9069767441860465
1,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.88
2,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9605263157894737,0.9325842696629213
3,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9736842105263158,0.9759036144578314
4,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9555555555555556
0,300,50,0.01,0.001,"(512, 256, 128, 64)",0.7960526315789473,0.7373737373737373
1,300,50,0.01,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8829787234042553
2,300,50,0.01,0.001,"(512, 256, 128, 64)",0.881578947368421,0.9012345679012346
3,300,50,0.01,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8295454545454546
4,300,50,0.01,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.8415841584158416
0,300,50,0.01,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.872093023255814
1,300,50,0.01,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.90625
2,300,50,0.01,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.8928571428571429
3,300,50,0.01,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8602150537634409
4,300,50,0.01,0.01,"(512, 256, 128, 64)",0.4868421052631579,0.7096774193548387
0,300,50,0.01,0.1,"(512, 256, 128, 64)",0.8157894736842105,0.75
1,300,50,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8947368421052632
2,300,50,0.01,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8556701030927835
3,300,50,0.01,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
4,300,50,0.01,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8736842105263158
0,300,50,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,300,50,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,300,50,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,300,50,0.1,0.001,"(512, 256, 128, 64)",0.618421052631579,0.5886524822695035
4,300,50,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,50,0.1,0.01,"(512, 256, 128, 64)",0.5394736842105263,0.527027027027027
1,300,50,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,300,50,0.1,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8229166666666666
3,300,50,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5763888888888888
4,300,50,0.1,0.01,"(512, 256, 128, 64)",0.6381578947368421,0.6232876712328768
0,300,50,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,300,50,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,300,50,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,300,50,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,300,50,0.1,0.1,"(512, 256, 128, 64)",0.618421052631579,0.610738255033557
0,300,100,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.7872340425531915
1,300,100,0.001,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8829787234042553
2,300,100,0.001,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8764044943820225
3,300,100,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8131868131868132
4,300,100,0.001,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8645833333333334
0,300,100,0.001,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.7938144329896907
1,300,100,0.001,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,300,100,0.001,0.01,"(512, 256, 128, 64)",0.9605263157894737,0.9425287356321839
3,300,100,0.001,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8315789473684211
4,300,100,0.001,0.01,"(512, 256, 128, 64)",0.4934210526315789,0.75
0,300,100,0.001,0.1,"(512, 256, 128, 64)",0.9342105263157895,0.8953488372093024
1,300,100,0.001,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9166666666666666
2,300,100,0.001,0.1,"(512, 256, 128, 64)",0.9671052631578947,0.9431818181818182
3,300,100,0.001,0.1,"(512, 256, 128, 64)",0.9013157894736842,0.8695652173913043
4,300,100,0.001,0.1,"(512, 256, 128, 64)",0.34868421052631576,0.0
0,300,100,0.01,0.001,"(512, 256, 128, 64)",0.75,0.7631578947368421
1,300,100,0.01,0.001,"(512, 256, 128, 64)",0.868421052631579,0.8469387755102041
2,300,100,0.01,0.001,"(512, 256, 128, 64)",0.881578947368421,0.8735632183908046
3,300,100,0.01,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
4,300,100,0.01,0.001,"(512, 256, 128, 64)",0.8486842105263158,0.8777777777777778
0,300,100,0.01,0.01,"(512, 256, 128, 64)",0.8157894736842105,0.7604166666666666
1,300,100,0.01,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.90625
2,300,100,0.01,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.896551724137931
3,300,100,0.01,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8863636363636364
4,300,100,0.01,0.01,"(512, 256, 128, 64)",0.4473684210526316,0.6666666666666666
0,300,100,0.01,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.8764044943820225
1,300,100,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8712871287128713
2,300,100,0.01,0.1,"(512, 256, 128, 64)",0.9539473684210527,0.9222222222222223
3,300,100,0.01,0.1,"(512, 256, 128, 64)",0.9276315789473685,0.9
4,300,100,0.01,0.1,"(512, 256, 128, 64)",0.3355263157894737,0.0
0,300,100,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,300,100,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,300,100,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,300,100,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,300,100,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,100,0.1,0.01,"(512, 256, 128, 64)",0.506578947368421,0.5102040816326531
1,300,100,0.1,0.01,"(512, 256, 128, 64)",0.42105263157894735,0.0
2,300,100,0.1,0.01,"(512, 256, 128, 64)",0.5394736842105263,0.54421768707483
3,300,100,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,300,100,0.1,0.01,"(512, 256, 128, 64)",0.625,0.6164383561643836
0,300,100,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,300,100,0.1,0.1,"(512, 256, 128, 64)",0.42105263157894735,0.0
2,300,100,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,300,100,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,300,100,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,300,0.001,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.7978723404255319
1,300,300,0.001,0.001,"(512, 256, 128, 64)",0.881578947368421,0.8645833333333334
2,300,300,0.001,0.001,"(512, 256, 128, 64)",0.8881578947368421,0.8837209302325582
3,300,300,0.001,0.001,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
4,300,300,0.001,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8787878787878788
0,300,300,0.001,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.8210526315789474
1,300,300,0.001,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.8865979381443299
2,300,300,0.001,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9204545454545454
3,300,300,0.001,0.01,"(512, 256, 128, 64)",0.9144736842105263,0.8977272727272727
4,300,300,0.001,0.01,"(512, 256, 128, 64)",0.4868421052631579,0.7241379310344828
0,300,300,0.001,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8478260869565217
1,300,300,0.001,0.1,"(512, 256, 128, 64)",0.756578947368421,0.9473684210526315
2,300,300,0.001,0.1,"(512, 256, 128, 64)",0.9736842105263158,0.9540229885057471
3,300,300,0.001,0.1,"(512, 256, 128, 64)",0.9605263157894737,0.9425287356321839
4,300,300,0.001,0.1,"(512, 256, 128, 64)",0.35526315789473684,0.0
0,300,300,0.01,0.001,"(512, 256, 128, 64)",0.8486842105263158,0.8160919540229885
1,300,300,0.01,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.8367346938775511
2,300,300,0.01,0.001,"(512, 256, 128, 64)",0.8881578947368421,0.8928571428571429
3,300,300,0.01,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.8105263157894737
4,300,300,0.01,0.001,"(512, 256, 128, 64)",0.8618421052631579,0.8977272727272727
0,300,300,0.01,0.01,"(512, 256, 128, 64)",0.8289473684210527,0.7954545454545454
1,300,300,0.01,0.01,"(512, 256, 128, 64)",0.9210526315789473,0.9130434782608695
2,300,300,0.01,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.8791208791208791
3,300,300,0.01,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.8837209302325582
4,300,300,0.01,0.01,"(512, 256, 128, 64)",0.45394736842105265,0.6818181818181818
0,300,300,0.01,0.1,"(512, 256, 128, 64)",0.8881578947368421,0.8279569892473119
1,300,300,0.01,0.1,"(512, 256, 128, 64)",0.8947368421052632,0.8461538461538461
2,300,300,0.01,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9120879120879121
3,300,300,0.01,0.1,"(512, 256, 128, 64)",0.8223684210526315,0.78
4,300,300,0.01,0.1,"(512, 256, 128, 64)",0.3223684210526316,0.07142857142857142
0,300,300,0.1,0.001,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,300,300,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,300,300,0.1,0.001,"(512, 256, 128, 64)",0.5328947368421053,0.54
3,300,300,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,300,300,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,300,0.1,0.01,"(512, 256, 128, 64)",0.5197368421052632,0.5165562913907285
1,300,300,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,300,300,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,300,300,0.1,0.01,"(512, 256, 128, 64)",0.5394736842105263,0.543046357615894
4,300,300,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,300,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,300,300,0.1,0.1,"(512, 256, 128, 64)",0.42105263157894735,0.0
2,300,300,0.1,0.1,"(512, 256, 128, 64)",0.6118421052631579,0.5845070422535211
3,300,300,0.1,0.1,"(512, 256, 128, 64)",0.45394736842105265,0.0
4,300,300,0.1,0.1,"(512, 256, 128, 64)",0.40131578947368424,0.0
